company,board,symbol,isin,trade_no,entry_type,signal_date,entry_date,entry,stop,target1,exit_date,exit_price,exit_reason,hold_sessions,pnl_pct,peak_gain_pct
United Heat Transfer Ltd.,SME,UHTL,INE0SMR01011,1,early pivot reclaim,2024-10-30,2024-10-31,70.45,64.81,81.02,2025-01-23,80.6,trail (30% off peak after +15%),57,12.91,66.1
OBSC Perfection Ltd.,SME,OBSCP,INE0YHV01011,1,early pivot reclaim,2024-10-30,2024-10-31,127.3,117.12,146.39,2025-01-31,182.6,trail (30% off peak after +15%),61,41.94,108.0
TBI Corn Ltd.,SME,TBI,INE0N2D01013,3,early pivot reclaim,2024-10-31,2024-11-01,219.35,201.8,252.25,2024-11-07,198.8,stop -8%,4,-10.87,0.0
Ganesh Green Bharat Ltd.,SME,GGBL,INE0R8C01018,3,early pivot reclaim,2024-10-31,2024-11-01,400.0,368.0,460.0,2025-01-24,401.25,trail (30% off peak after +15%),57,-1.19,52.7
Picturepost Studios Ltd.,SME,PPSL,INE0YAL01017,3,early pivot reclaim,2024-10-31,2024-11-01,32.75,30.13,37.66,2025-03-04,29.0,stop -8%,80,-12.95,26.6
Waaree Energies Ltd.,Mainboard,WAAREEENER,INE377N01017,1,early pivot reclaim,2024-10-31,2024-11-01,2780.0,2557.6,3197.0,2024-11-26,2525.85,stop -8%,15,-10.14,30.8
Orient Technologies Ltd.,Mainboard,ORIENTTECH,INE0PPK01015,2,early pivot reclaim,2024-11-01,2024-11-04,319.95,294.35,367.94,2025-01-30,441.35,trail (30% off peak after +15%),60,36.94,106.9
Osel Devices Ltd.,SME,OSELDEVICE,INE0RMF01018,2,early pivot reclaim,2024-11-01,2024-11-04,210.15,193.34,241.67,2025-02-21,235.2,trail (30% off peak after +15%),76,10.42,60.3
Godavari Biorefineries Ltd.,Mainboard,GODAVARIB,INE497S01012,1,early pivot reclaim,2024-11-01,2024-11-04,353.05,324.81,406.01,2024-11-12,312.65,stop -8%,6,-12.44,1.0
Freshara Agro Exports Ltd.,SME,FRESHARA,INE0SFW01015,1,early pivot reclaim,2024-11-05,2024-11-06,145.95,134.27,167.84,2024-11-11,131.8,stop -8%,3,-11.2,0.0
Afcons Infrastructure Ltd.,Mainboard,AFCONS,INE101I01011,1,early pivot reclaim,2024-11-05,2024-11-06,499.15,459.22,574.02,2024-11-12,458.4,stop -8%,4,-9.16,0.0
KRN Heat Exchanger & Refrigeration Ltd.,Mainboard,KRN,INE0Q3J01015,1,early pivot reclaim,2024-11-06,2024-11-07,565.45,520.21,650.27,2025-06-13,719.85,"time (120 sessions, unproven)",146,26.31,71.6
Manba Finance Ltd.,Mainboard,MANBA,INE939X01013,3,early pivot reclaim,2024-11-07,2024-11-08,158.47,145.79,182.24,2024-11-13,143.04,stop -8%,3,-10.74,0.0
Innomet Advanced Materials Ltd.,SME,INNOMET,INE0S1D01010,2,early pivot reclaim,2024-11-08,2024-11-11,195.0,179.4,224.25,2024-11-13,170.1,stop -8%,2,-14.27,0.0
Envirotech Systems Ltd.,SME,ENVIRO,INE0SUH01015,2,early pivot reclaim,2024-11-08,2024-11-11,115.0,105.8,132.25,2025-01-27,104.75,stop -8%,52,-10.41,25.7
SD Retail Ltd.,SME,SDREAMS,INE0X6F01017,3,early pivot reclaim,2024-11-08,2024-11-11,169.0,155.48,194.35,2024-11-11,152.95,stop -8%,0,-11.0,0.0
Pranik Logistics Ltd.,SME,PRANIK,INE0VJG01014,3,early pivot reclaim,2024-11-11,2024-11-12,84.25,77.51,96.89,2025-01-31,77.0,stop -8%,55,-10.11,30.7
Jana Small Finance Bank Ltd.,Mainboard,JSFB,INE953L01027,3,early pivot reclaim,2024-11-14,2024-11-18,412.35,379.36,474.2,2024-12-20,378.8,stop -8%,23,-9.14,9.1
Afcons Infrastructure Ltd.,Mainboard,AFCONS,INE101I01011,2,early pivot reclaim,2024-11-19,2024-11-21,480.1,441.69,552.12,2025-02-03,439.35,stop -8%,51,-9.49,13.6
GEM Enviro Management Ltd.,SME,GEMENVIRO,INE0RUJ01013,2,early pivot reclaim,2024-11-21,2024-11-22,157.0,144.44,180.55,2024-12-20,141.7,stop -8%,20,-11.25,6.7
Neelam Linens & Garments (India) Ltd.,SME,NEELAM,INE0N1401016,1,early pivot reclaim,2024-11-21,2024-11-22,42.0,38.64,48.3,2025-01-20,45.7,trail (30% off peak after +15%),39,7.31,62.3
Onyx Biotec Ltd.,SME,ONYX,INE0WVU01018,1,early pivot reclaim,2024-11-25,2024-11-26,62.5,57.5,71.88,2024-11-27,56.35,stop -8%,1,-11.34,0.0
Sagility India Ltd.,Mainboard,SAGILITY,INE0W2G01015,1,early pivot reclaim,2024-11-27,2024-11-28,34.5,31.74,39.67,2025-05-27,40.72,"time (120 sessions, unproven)",120,17.03,56.1
Swiggy Ltd.,Mainboard,SWIGGY,INE00H001014,1,early pivot reclaim,2024-11-27,2024-11-28,507.4,466.81,583.51,2025-01-13,463.1,stop -8%,31,-9.73,17.7
Waaree Energies Ltd.,Mainboard,WAAREEENER,INE377N01017,2,early pivot reclaim,2024-11-28,2024-11-29,2641.6,2430.27,3037.84,2025-01-22,2425.1,stop -8%,37,-9.2,24.6
ACME Solar Holdings Ltd.,Mainboard,ACMESOLAR,INE622W01025,1,early pivot reclaim,2024-11-28,2024-11-29,280.15,257.74,322.17,2024-12-18,250.7,stop -8%,13,-11.51,0.3
NTPC Green Energy Ltd.,Mainboard,NTPCGREEN,INE0ONG01011,1,early pivot reclaim,2024-11-28,2024-11-29,127.0,116.84,146.05,2025-01-10,116.32,stop -8%,29,-9.41,17.0
Zinka Logistics Solutions Ltd.,Mainboard,BLACKBUCK,INE0UIZ01018,1,early pivot reclaim,2024-12-02,2024-12-03,329.0,302.68,378.35,2025-01-24,361.65,trail (30% off peak after +15%),37,8.92,62.3
Sadhav Shipping Ltd.,SME,SADHAV,INE0K5H01010,2,early pivot reclaim,2024-12-03,2024-12-04,164.1,150.97,188.71,2024-12-06,148.95,stop -8%,2,-10.73,0.0
Rappid Valves (India) Ltd.,SME,RAPPID,INE0MVO01012,2,early pivot reclaim,2024-12-03,2024-12-04,354.0,325.68,407.1,2024-12-27,325.0,stop -8%,16,-9.69,20.0
Niva Bupa Health Insurance Co.Ltd.,Mainboard,NIVABUPA,INE995S01015,1,early pivot reclaim,2024-12-03,2024-12-04,82.84,76.21,95.27,2024-12-24,76.12,stop -8%,14,-9.11,20.7
Onyx Biotec Ltd.,SME,ONYX,INE0WVU01018,2,early pivot reclaim,2024-12-03,2024-12-04,59.6,54.83,68.54,2024-12-13,54.0,stop -8%,7,-10.9,0.0
Enviro Infra Engineers Ltd.,Mainboard,EIEL,INE0LLY01014,1,early pivot reclaim,2024-12-03,2024-12-04,259.45,238.69,298.37,2025-01-21,265.1,trail (30% off peak after +15%),33,1.18,46.7
Rajesh Power Services Ltd.,SME,RAJESH,INE0VN801010,1,early pivot reclaim,2024-12-03,2024-12-04,736.75,677.81,847.26,2025-02-18,827.7,trail (30% off peak after +15%),53,10.84,63.8
Godavari Biorefineries Ltd.,Mainboard,GODAVARIB,INE497S01012,2,early pivot reclaim,2024-12-04,2024-12-05,375.0,345.0,431.25,2024-12-18,336.0,stop -8%,9,-11.4,4.9
Rajputana Biodiesel Ltd.,SME,RAJPUTANA,INE0VHU01019,1,early pivot reclaim,2024-12-04,2024-12-05,285.0,262.2,327.75,2025-02-10,260.0,stop -8%,46,-10.27,26.1
C2C Advanced Systems Ltd.,SME,C2C,INE0U7V01015,1,early pivot reclaim,2024-12-04,2024-12-05,497.0,457.24,571.55,2025-02-13,629.25,trail (30% off peak after +15%),49,25.11,88.7
Agarwal Toughened Glass India Ltd.,SME,AGARWALTUF,INE0P8X01016,1,early pivot reclaim,2024-12-06,2024-12-09,134.95,124.15,155.19,2025-01-06,121.75,stop -8%,19,-11.28,3.4
Sanstar Ltd.,Mainboard,SANSTAR,INE08NE01025,3,early pivot reclaim,2024-12-09,2024-12-10,132.25,121.67,152.09,2024-12-19,121.51,stop -8%,7,-9.12,1.2
Innomet Advanced Materials Ltd.,SME,INNOMET,INE0S1D01010,3,early pivot reclaim,2024-12-12,2024-12-13,192.5,177.1,221.37,2024-12-30,177.0,stop -8%,10,-9.55,4.1
Nisus Finance Services Co.Ltd.,SME,NISUS,INE0DQN01013,1,early pivot reclaim,2024-12-12,2024-12-13,251.0,230.92,288.65,2025-02-12,368.8,trail (30% off peak after +15%),42,45.43,117.6
Subam Papers Ltd.,SME,SUBAM,INE0U6201010,2,early pivot reclaim,2024-12-13,2024-12-16,158.05,145.41,181.76,2024-12-24,143.95,stop -8%,6,-10.42,7.0
Emerald Tyre Manufacturers Ltd.,SME,ETML,INE0RHD01013,1,early pivot reclaim,2024-12-13,2024-12-16,198.0,182.16,227.7,2024-12-18,177.55,stop -8%,2,-11.83,0.0
Freshara Agro Exports Ltd.,SME,FRESHARA,INE0SFW01015,2,early pivot reclaim,2024-12-17,2024-12-18,165.0,151.8,189.75,2025-02-28,151.35,stop -8%,50,-9.77,24.6
Toss The Coin Ltd.,SME,TTC,INE0XAY01012,1,early pivot reclaim,2024-12-18,2024-12-19,400.25,368.23,460.29,2025-01-22,632.1,trail (30% off peak after +15%),23,56.43,126.1
One Mobikwik Systems Ltd.,Mainboard,MOBIKWIK,INE0HLU01028,1,early pivot reclaim,2024-12-19,2024-12-20,534.0,491.28,614.1,2024-12-20,487.95,stop -8%,0,-9.62,0.0
Purple United Sales Ltd.,SME,PURPLEUTED,INE0P5R01014,1,early pivot reclaim,2024-12-19,2024-12-20,230.3,211.88,264.84,2024-12-27,203.85,stop -8%,4,-12.99,0.0
Yash Highvoltage Ltd.,SME,YASHHV,INE00GK01023,1,early pivot reclaim,2024-12-20,2024-12-23,291.0,267.72,334.65,2024-12-30,266.25,stop -8%,4,-10.01,0.2
K2 Infragen Ltd.,SME,K2INFRA,INE0DEZ01013,2,early pivot reclaim,2024-12-23,2024-12-24,193.1,177.65,222.06,2024-12-27,175.25,stop -8%,2,-10.74,0.0
One Mobikwik Systems Ltd.,Mainboard,MOBIKWIK,INE0HLU01028,2,early pivot reclaim,2024-12-23,2024-12-24,547.25,503.47,629.34,2025-01-15,466.55,stop -8%,15,-15.75,16.7
Hamps Bio Ltd.,SME,HAMPS,INE0QBD01018,1,early pivot reclaim,2024-12-23,2024-12-24,107.0,98.44,123.05,2024-12-26,96.41,stop -8%,1,-11.4,0.0
International Gemmological Institute (India) Ltd.,Mainboard,IGIL,INE0Q9301021,1,early pivot reclaim,2024-12-24,2024-12-26,544.0,500.48,625.6,2025-01-27,484.95,stop -8%,22,-11.85,14.0
Rudra Gas Enterprise Ltd.,SME,RUDRAGAS,INE0OYK01010,2,early pivot reclaim,2024-12-26,2024-12-27,137.0,126.04,157.55,2024-12-31,125.0,stop -8%,2,-10.26,0.0
Niva Bupa Health Insurance Co.Ltd.,Mainboard,NIVABUPA,INE995S01015,2,early pivot reclaim,2024-12-26,2024-12-27,81.85,75.3,94.13,2025-01-13,75.24,stop -8%,11,-9.08,2.8
Onyx Biotec Ltd.,SME,ONYX,INE0WVU01018,3,early pivot reclaim,2024-12-26,2024-12-27,66.5,61.18,76.47,2025-01-30,66.35,trail (30% off peak after +15%),24,-1.73,42.6
Ganesh Infraworld Ltd.,SME,GANESHIN,INE0TVT01024,1,early pivot reclaim,2024-12-26,2024-12-27,171.0,157.32,196.65,2025-01-02,156.0,stop -8%,4,-10.27,0.0
Inventurus Knowledge Solutions Ltd.,Mainboard,IKS,INE115Q01022,1,early pivot reclaim,2024-12-26,2024-12-27,2150.0,1978.0,2472.5,2024-12-30,1910.85,stop -8%,1,-12.12,0.0
NACDAC Infrastructure Ltd.,SME,NACDAC,INE0LB101011,1,early pivot reclaim,2024-12-26,2024-12-27,76.97,70.81,88.52,2025-01-14,68.84,stop -8%,12,-12.06,26.6
Rappid Valves (India) Ltd.,SME,RAPPID,INE0MVO01012,3,early pivot reclaim,2024-12-30,2024-12-31,340.65,313.4,391.75,2025-01-22,310.0,stop -8%,16,-10.5,1.1
Rudra Gas Enterprise Ltd.,SME,RUDRAGAS,INE0OYK01010,3,early pivot reclaim,2025-01-01,2025-01-02,123.9,113.99,142.48,2025-01-28,112.15,stop -8%,18,-10.98,6.1
Sadhav Shipping Ltd.,SME,SADHAV,INE0K5H01010,3,early pivot reclaim,2025-01-01,2025-01-02,148.0,136.16,170.2,2025-01-13,133.6,stop -8%,7,-11.23,6.8
Apex Ecotech Ltd.,SME,APEXECO,INE0T4V01015,1,early pivot reclaim,2025-01-02,2025-01-03,155.0,142.6,178.25,2025-01-06,136.7,stop -8%,1,-13.31,0.0
Yash Highvoltage Ltd.,SME,YASHHV,INE00GK01023,2,early pivot reclaim,2025-01-02,2025-01-03,305.0,280.6,350.75,2025-01-10,269.2,stop -8%,5,-13.24,6.4
Transrail Lighting Ltd.,Mainboard,TRANSRAILL,INE454P01035,1,early pivot reclaim,2025-01-02,2025-01-03,658.0,605.36,756.7,2025-01-13,587.85,stop -8%,6,-11.66,2.9
Ganesh Infraworld Ltd.,SME,GANESHIN,INE0TVT01024,2,early pivot reclaim,2025-01-03,2025-01-06,169.95,156.35,195.44,2025-01-06,154.35,stop -8%,0,-10.68,0.0
Anya Polytech & Fertilizers Ltd.,SME,ANYA,INE0SI601032,1,early pivot reclaim,2025-01-03,2025-01-06,19.7,18.12,22.65,2025-01-06,17.9,stop -8%,0,-10.64,0.0
Go Digit General Insurance Ltd.,Mainboard,GODIGIT,INE03JT01014,2,early pivot reclaim,2025-01-07,2025-01-08,314.65,289.48,361.85,2025-01-10,285.15,stop -8%,2,-10.38,0.0
S A Tech Software India Ltd.,SME,SATECH,INE0BSN01013,3,early pivot reclaim,2025-01-08,2025-01-09,122.8,112.98,141.22,2025-01-13,112.3,stop -8%,2,-10.05,0.0
Apex Ecotech Ltd.,SME,APEXECO,INE0T4V01015,2,early pivot reclaim,2025-01-08,2025-01-09,146.5,134.78,168.48,2025-01-24,129.25,stop -8%,11,-13.27,8.6
Technichem Organics Ltd.,SME,TECHNICHEM,INE0ZHT01012,1,early pivot reclaim,2025-01-08,2025-01-09,66.26,60.96,76.2,2025-01-13,59.71,stop -8%,2,-11.39,0.0
Fabtech Technologies Cleanrooms Ltd.,SME,FABCLEAN,INE0HSD01011,1,early pivot reclaim,2025-01-13,2025-01-14,186.94,171.98,214.98,2025-11-10,324.2,trail (30% off peak after +15%),199,71.92,151.3
Transrail Lighting Ltd.,Mainboard,TRANSRAILL,INE454P01035,2,early pivot reclaim,2025-01-14,2025-01-15,643.3,591.84,739.79,2025-01-20,590.55,stop -8%,3,-9.2,0.0
Indobell Insulations Ltd.,SME,INDOBELL,INE0FK501019,1,early pivot reclaim,2025-01-14,2025-01-15,101.0,92.92,116.15,2025-05-08,112.25,trail (30% off peak after +15%),45,9.64,60.3
Swiggy Ltd.,Mainboard,SWIGGY,INE00H001014,2,early pivot reclaim,2025-01-15,2025-01-16,505.0,464.6,580.75,2025-01-21,440.45,stop -8%,3,-13.78,0.0
NACDAC Infrastructure Ltd.,SME,NACDAC,INE0LB101011,2,early pivot reclaim,2025-01-15,2025-01-16,73.99,68.07,85.09,2025-01-27,62.65,stop -8%,7,-16.83,11.5
Anya Polytech & Fertilizers Ltd.,SME,ANYA,INE0SI601032,2,early pivot reclaim,2025-01-15,2025-01-16,19.8,18.22,22.77,2025-08-13,25.5,"time (120 sessions, unproven)",142,27.29,40.4
Standard Glass Lining Technology Ltd.,Mainboard,SGLTL,INE0M4D01010,1,early pivot reclaim,2025-01-15,2025-01-16,208.17,191.52,239.4,2025-01-17,190.41,stop -8%,1,-9.53,0.0
Quadrant Future Tek Ltd.,Mainboard,QUADFUTURE,INE0LRY01011,1,early pivot reclaim,2025-01-15,2025-01-16,550.05,506.05,632.56,2025-01-27,498.45,stop -8%,7,-10.38,8.7
B.R.Goyal Infrastructure Ltd.,SME,BRGIL,INE00ST01011,1,early pivot reclaim,2025-01-15,2025-01-16,144.95,133.35,166.69,2025-01-17,131.85,stop -8%,1,-10.54,0.0
Beacon Trusteeship Ltd.,SME,BEACON,INE639X01027,2,early pivot reclaim,2025-01-16,2025-01-17,97.0,89.24,111.55,2025-01-27,87.15,stop -8%,6,-11.65,0.2
Niva Bupa Health Insurance Co.Ltd.,Mainboard,NIVABUPA,INE995S01015,3,early pivot reclaim,2025-01-16,2025-01-17,82.63,76.02,95.02,2025-01-27,75.2,stop -8%,6,-9.99,0.5
NTPC Green Energy Ltd.,Mainboard,NTPCGREEN,INE0ONG01011,2,early pivot reclaim,2025-01-16,2025-01-17,122.92,113.09,141.36,2025-01-24,112.32,stop -8%,5,-9.62,0.0
Indegene Ltd.,Mainboard,INDGN,INE065X01017,2,early pivot reclaim,2025-01-20,2025-01-21,677.7,623.48,779.36,2025-01-27,611.4,stop -8%,4,-10.78,0.0
Nephro Care India Ltd.,SME,NEPHROCARE,INE0SUN01013,2,early pivot reclaim,2025-01-20,2025-01-21,194.0,178.48,223.1,2025-02-07,171.0,stop -8%,13,-13.36,4.5
Technichem Organics Ltd.,SME,TECHNICHEM,INE0ZHT01012,2,early pivot reclaim,2025-01-20,2025-01-21,65.0,59.8,74.75,2025-02-03,57.5,stop -8%,9,-13.04,11.4
Sat Kartar Shopping Ltd.,SME,SATKARTAR,INE0NB801022,1,early pivot reclaim,2025-01-20,2025-01-21,178.05,163.81,204.76,2025-01-24,161.3,stop -8%,3,-10.91,0.0
B.R.Goyal Infrastructure Ltd.,SME,BRGIL,INE00ST01011,2,early pivot reclaim,2025-01-21,2025-01-22,152.55,140.35,175.43,2025-01-24,136.8,stop -8%,2,-11.82,0.0
Barflex Polyfilms Ltd.,SME,BARFLEX,INE0QX401014,1,early pivot reclaim,2025-01-21,2025-01-22,69.45,63.89,79.87,2025-01-28,62.55,stop -8%,4,-11.44,5.0
Refractory Shapes Ltd.,SME,REFRACTORY,INE0TNX01015,2,early pivot reclaim,2025-01-23,2025-01-24,82.0,75.44,94.3,2025-01-27,72.2,stop -8%,1,-13.45,0.0
Go Digit General Insurance Ltd.,Mainboard,GODIGIT,INE03JT01014,3,early pivot reclaim,2025-01-23,2025-01-24,318.55,293.07,366.33,2025-03-25,291.3,stop -8%,40,-9.55,0.0
Namo eWaste Management Ltd.,SME,NAMOEWASTE,INE08NZ01012,3,early pivot reclaim,2025-01-29,2025-01-30,181.8,167.26,209.07,2025-02-11,159.5,stop -8%,8,-13.77,3.8
Envirotech Systems Ltd.,SME,ENVIRO,INE0SUH01015,3,early pivot reclaim,2025-01-29,2025-01-30,117.0,107.64,134.55,2025-02-03,106.5,stop -8%,2,-10.47,0.0
Shiv Texchem Ltd.,SME,SHIVTEXCHEM,INE0YRO01015,3,early pivot reclaim,2025-01-29,2025-01-30,254.0,233.68,292.1,2025-02-12,225.6,stop -8%,9,-12.68,9.0
DCG Cables & Wires Ltd.,SME,DCG,INE0S8401018,3,early pivot reclaim,2025-01-30,2025-01-31,92.5,85.1,106.37,2025-02-07,85.1,stop -8%,5,-9.5,0.0
Refractory Shapes Ltd.,SME,REFRACTORY,INE0TNX01015,3,early pivot reclaim,2025-01-31,2025-02-03,86.6,79.67,99.59,2025-03-06,79.05,stop -8%,10,-10.22,7.0
Premier Energies Ltd.,Mainboard,PREMIERENE,INE0BS701011,2,early pivot reclaim,2025-01-31,2025-02-03,1079.85,993.46,1241.83,2025-02-10,984.05,stop -8%,5,-9.87,0.0
Jay Bee Laminations Ltd.,SME,JAYBEE,INE0SMY01017,3,early pivot reclaim,2025-01-31,2025-02-03,307.65,283.04,353.8,2025-02-07,271.55,stop -8%,4,-13.23,0.0
Denta Water & Infra Solutions Ltd.,Mainboard,DENTA,INE0R4L01018,1,early pivot reclaim,2025-01-31,2025-02-03,329.0,302.68,378.35,2025-02-14,290.4,stop -8%,9,-12.73,2.2
Senco Gold Ltd.,Mainboard,SENCO,INE602W01027,1,early pivot reclaim,2025-02-03,2025-02-04,515.1,473.89,592.36,2025-02-10,472.25,stop -8%,4,-9.32,3.6
Vishal Mega Mart Ltd.,Mainboard,VMM,INE01EA01019,1,late bloomer (vol-confirmed),2025-02-03,2025-02-04,117.7,108.28,135.35,2025-02-11,107.05,stop -8%,5,-10.05,6.5
Sat Kartar Shopping Ltd.,SME,SATKARTAR,INE0NB801022,2,early pivot reclaim,2025-02-03,2025-02-04,184.0,169.28,211.6,2025-02-18,153.9,stop -8%,10,-17.86,23.8
CLN Energy Ltd.,SME,CLN,INE0WDX01010,1,early pivot reclaim,2025-02-03,2025-02-04,292.4,269.01,336.26,2025-02-12,254.7,stop -8%,6,-14.39,15.7
Rajputana Industries Ltd.,SME,RAJINDLTD,INE0PCU01012,2,early pivot reclaim,2025-02-04,2025-02-05,81.95,75.39,94.24,2025-03-28,74.2,stop -8%,35,-10.96,13.1
International Gemmological Institute (India) Ltd.,Mainboard,IGIL,INE0Q9301021,2,early pivot reclaim,2025-02-04,2025-02-05,533.0,490.36,612.95,2025-02-10,480.8,stop -8%,3,-10.79,0.0
Technichem Organics Ltd.,SME,TECHNICHEM,INE0ZHT01012,3,early pivot reclaim,2025-02-04,2025-02-05,62.5,57.5,71.88,2025-02-05,57.25,stop -8%,0,-9.9,0.0
Transrail Lighting Ltd.,Mainboard,TRANSRAILL,INE454P01035,3,early pivot reclaim,2025-02-11,2025-02-12,620.0,570.4,713.0,2025-02-13,561.9,stop -8%,1,-10.37,0.0
United Heat Transfer Ltd.,SME,UHTL,INE0SMR01011,2,early pivot reclaim,2025-02-12,2025-02-13,63.0,57.96,72.45,2025-02-19,56.5,stop -8%,4,-11.82,0.2
Rajputana Biodiesel Ltd.,SME,RAJPUTANA,INE0VHU01019,2,early pivot reclaim,2025-02-12,2025-02-13,264.8,243.62,304.52,2025-02-28,237.85,stop -8%,10,-11.68,5.7
Dr.Agarwal's Health Care Ltd.,Mainboard,AGARWALEYE,INE943P01029,1,early pivot reclaim,2025-02-12,2025-02-13,420.1,386.49,483.12,2025-04-28,378.55,stop -8%,46,-10.89,7.9
Premier Energies Ltd.,Mainboard,PREMIERENE,INE0BS701011,3,early pivot reclaim,2025-02-13,2025-02-14,1014.9,933.71,1167.14,2025-02-27,924.3,stop -8%,8,-9.93,0.0
CLN Energy Ltd.,SME,CLN,INE0WDX01010,2,early pivot reclaim,2025-02-13,2025-02-14,279.0,256.68,320.85,2025-03-18,254.9,stop -8%,20,-10.14,11.3
Amwill Health Care Ltd.,SME,AMWILL,INE0U2L01017,1,early pivot reclaim,2025-02-13,2025-02-14,99.0,91.08,113.85,2025-02-24,87.4,stop -8%,6,-13.22,0.0
Solarium Green Energy Ltd.,SME,SOLARIUM,INE0W0H01017,1,early pivot reclaim,2025-02-14,2025-02-17,233.5,214.82,268.52,2025-08-08,325.7,trail (30% off peak after +15%),117,37.99,101.5
Enviro Infra Engineers Ltd.,Mainboard,EIEL,INE0LLY01014,2,early pivot reclaim,2025-02-17,2025-02-18,238.4,219.33,274.16,2025-02-27,201.85,stop -8%,6,-16.33,1.7
Entero Healthcare Solutions Ltd.,Mainboard,ENTERO,INE010601016,2,early pivot reclaim,2025-02-19,2025-02-20,1240.55,1141.31,1426.63,2025-03-25,1130.55,stop -8%,21,-9.87,6.1
Toss The Coin Ltd.,SME,TTC,INE0XAY01012,2,early pivot reclaim,2025-02-20,2025-02-21,372.75,342.93,428.66,2025-03-25,336.9,stop -8%,12,-11.12,14.0
Sat Kartar Shopping Ltd.,SME,SATKARTAR,INE0NB801022,3,early pivot reclaim,2025-02-20,2025-02-21,173.5,159.62,199.52,2025-02-27,156.4,stop -8%,3,-11.36,0.0
Denta Water & Infra Solutions Ltd.,Mainboard,DENTA,INE0R4L01018,2,early pivot reclaim,2025-02-20,2025-02-21,355.35,326.92,408.65,2025-02-25,311.7,stop -8%,2,-13.28,0.4
Hexaware Technologies Ltd.,Mainboard,HEXT,INE093A01041,1,early pivot reclaim,2025-02-20,2025-02-21,801.1,737.01,921.26,2025-03-19,736.1,stop -8%,16,-9.11,3.2
Beezaasan Explotech Ltd.,SME,BEEZAASAN,INE13VU01016,1,early pivot reclaim,2025-03-04,2025-03-05,166.0,152.72,190.9,2025-09-01,208.05,"time (120 sessions, unproven)",120,23.83,60.8
Quadrant Future Tek Ltd.,Mainboard,QUADFUTURE,INE0LRY01011,2,early pivot reclaim,2025-03-05,2025-03-06,521.45,479.73,599.67,2025-03-17,466.0,stop -8%,6,-11.63,0.0
Nukleus Office Solutions Ltd.,SME,NUKLEUS,INE0VYX01018,1,early pivot reclaim,2025-03-05,2025-03-06,192.4,177.01,221.26,2025-03-12,175.6,stop -8%,4,-10.23,3.8
Effwa Infra & Research Ltd.,SME,EFFWA,INE0U9101019,2,early pivot reclaim,2025-03-06,2025-03-07,178.5,164.22,205.27,2025-03-12,161.8,stop -8%,3,-10.86,0.0
Osel Devices Ltd.,SME,OSELDEVICE,INE0RMF01018,3,early pivot reclaim,2025-03-06,2025-03-07,226.6,208.47,260.59,2025-03-17,207.7,stop -8%,5,-9.84,0.0
Chandan Healthcare Ltd.,SME,CHANDAN,INE0B2N01016,1,early pivot reclaim,2025-03-06,2025-03-07,173.95,160.03,200.04,2025-09-11,223.1,"time (120 sessions, unproven)",126,26.76,49.4
Ajax Engineering Ltd.,Mainboard,AJAXENGG,INE274Y01021,1,early pivot reclaim,2025-03-10,2025-03-11,600.6,552.55,690.69,2025-09-05,677.4,"time (120 sessions, unproven)",120,11.79,23.6
Premier Roadlines Ltd.,SME,PRLIND,INE0CFG01012,3,early pivot reclaim,2025-03-12,2025-03-13,98.2,90.34,112.93,2025-03-17,88.75,stop -8%,1,-11.12,0.0
Orient Technologies Ltd.,Mainboard,ORIENTTECH,INE0PPK01015,3,early pivot reclaim,2025-03-18,2025-03-19,310.1,285.29,356.62,2025-09-12,317.15,"time (120 sessions, unproven)",120,1.27,26.8
Effwa Infra & Research Ltd.,SME,EFFWA,INE0U9101019,3,early pivot reclaim,2025-03-19,2025-03-20,174.5,160.54,200.68,2025-09-15,218.3,"time (120 sessions, unproven)",120,23.6,45.2
Sahaj Solar Ltd.,SME,SAHAJSOLAR,INE0P4701011,2,early pivot reclaim,2025-03-19,2025-03-20,381.95,351.39,439.24,2025-04-02,240.45,stop -8%,8,-38.55,10.5
Techera Engineering (India) Ltd.,SME,TECHERA,INE0JQS01019,2,early pivot reclaim,2025-03-19,2025-03-20,139.3,128.16,160.2,2025-03-26,123.1,stop -8%,4,-13.13,0.3
Royal Arc Electrodes Ltd.,SME,ROYALARC,INE0EO401019,1,early pivot reclaim,2025-03-19,2025-03-20,121.0,111.32,139.15,2025-10-23,153.5,"time (120 sessions, unproven)",122,25.36,52.7
Balaji Phosphates Ltd.,SME,BALAJIPHOS,INE0PQ601019,1,early pivot reclaim,2025-03-19,2025-03-20,78.65,72.36,90.45,2025-10-28,125.15,trail (30% off peak after +15%),141,57.62,133.7
Mason Infratech Ltd.,SME,MASON,INE0SH001010,2,early pivot reclaim,2025-03-21,2025-03-24,105.9,97.43,121.78,2025-03-25,88.65,stop -8%,1,-17.79,0.0
United Heat Transfer Ltd.,SME,UHTL,INE0SMR01011,3,early pivot reclaim,2025-03-21,2025-03-24,67.0,61.64,77.05,2025-03-25,61.05,stop -8%,1,-10.38,0.0
Afcons Infrastructure Ltd.,Mainboard,AFCONS,INE101I01011,3,early pivot reclaim,2025-03-21,2025-03-24,487.9,448.87,561.08,2025-04-07,426.4,stop -8%,9,-13.61,0.4
Bansal Wire Industries Ltd.,Mainboard,BANSALWIRE,INE0B9K01025,3,early pivot reclaim,2025-03-24,2025-03-25,384.0,353.28,441.6,2025-04-07,344.65,stop -8%,8,-11.25,0.8
