company,board,symbol,isin,trade_no,entry_type,signal_date,entry_date,entry,stop,target1,exit_date,exit_price,exit_reason,hold_sessions,pnl_pct,peak_gain_pct
Entero Healthcare Solutions Ltd.,Mainboard,ENTERO,INE010601016,1,late bloomer (vol-confirmed),2024-08-01,2024-08-02,1235.45,1136.61,1420.77,2025-01-24,1305.95,"time (120 sessions, unproven)",120,4.71,24.2
Manglam Infra & Engineering Ltd.,SME,MIEL,INE0R3101011,1,early pivot reclaim,2024-08-01,2024-08-02,123.1,113.25,141.56,2024-08-02,112.85,stop -8%,0,-9.83,0.0
Bansal Wire Industries Ltd.,Mainboard,BANSALWIRE,INE0B9K01025,1,early pivot reclaim,2024-08-02,2024-08-05,365.55,336.31,420.38,2024-08-13,333.2,stop -8%,6,-9.85,0.0
Aprameya Engineering Ltd.,SME,APRAMEYA,INE0LQG01010,1,early pivot reclaim,2024-08-02,2024-08-05,76.2,70.1,87.63,2024-08-29,68.35,stop -8%,17,-11.8,4.5
Trom Industries Ltd.,SME,TROM,INE0SYV01018,1,early pivot reclaim,2024-08-02,2024-08-05,252.85,232.62,290.78,2024-08-09,231.55,stop -8%,4,-9.92,0.0
S A Tech Software India Ltd.,SME,SATECH,INE0BSN01013,1,early pivot reclaim,2024-08-05,2024-08-06,129.7,119.32,149.15,2024-08-06,119.0,stop -8%,0,-9.75,0.0
Esprit Stones Ltd.,SME,ESPRIT,INE0SBP01018,1,early pivot reclaim,2024-08-05,2024-08-06,107.4,98.81,123.51,2024-08-07,98.1,stop -8%,1,-10.16,0.0
JNK India Ltd.,Mainboard,JNKINDIA,INE0OAF01028,2,early pivot reclaim,2024-08-07,2024-08-08,729.95,671.55,839.44,2024-09-26,667.45,stop -8%,34,-9.56,6.0
Rajputana Industries Ltd.,SME,RAJINDLTD,INE0PCU01012,1,early pivot reclaim,2024-08-07,2024-08-08,83.5,76.82,96.02,2025-01-30,78.5,"time (120 sessions, unproven)",120,-7.49,30.4
Kizi Apparels Ltd.,SME,KIZI,INE0RMR01013,1,early pivot reclaim,2024-08-07,2024-08-08,25.0,23.0,28.75,2024-08-12,22.53,stop -8%,2,-11.38,0.0
Kataria Industries Ltd.,SME,KATARIA,INE0SVY01018,2,early pivot reclaim,2024-08-08,2024-08-09,198.25,182.39,227.99,2024-08-28,177.95,stop -8%,12,-11.74,4.2
Akums Drugs & Pharmaceuticals Ltd.,Mainboard,AKUMS,INE09XN01023,1,early pivot reclaim,2024-08-08,2024-08-09,809.0,744.28,930.35,2024-11-11,716.6,stop -8%,64,-12.42,38.4
Utssav CZ Gold Jewels Ltd.,SME,UTSSAV,INE06IJ01010,1,early pivot reclaim,2024-08-08,2024-08-09,127.35,117.16,146.45,2025-02-11,212.85,trail (30% off peak after +15%),127,65.64,142.7
Aelea Commodities Ltd.,SME,ACLD,INE0T3401029,2,early pivot reclaim,2024-08-09,2024-08-12,189.0,173.88,217.35,2024-10-07,171.1,stop -8%,38,-10.97,25.4
Esprit Stones Ltd.,SME,ESPRIT,INE0SBP01018,2,early pivot reclaim,2024-08-12,2024-08-13,103.0,94.76,118.45,2024-10-07,91.5,stop -8%,37,-12.67,27.3
Sathlokhar Synergys E&C Global Ltd.,SME,SSEGL,INE0RFP01011,1,early pivot reclaim,2024-08-12,2024-08-13,283.9,261.19,326.48,2024-09-20,442.65,trail (30% off peak after +15%),27,54.42,133.3
Ola Electric Mobility Ltd.,Mainboard,OLAELEC,INE0LXG01040,1,early pivot reclaim,2024-08-12,2024-08-13,120.98,111.3,139.13,2024-08-13,108.17,stop -8%,0,-11.59,0.0
Afcom Holdings Ltd.,SME,AFCOM,INE0OXY01013,1,early pivot reclaim,2024-08-12,2024-08-13,237.5,218.5,273.12,2025-02-05,851.55,trail (30% off peak after +15%),121,257.05,419.4
Picturepost Studios Ltd.,SME,PPSL,INE0YAL01017,1,early pivot reclaim,2024-08-12,2024-08-13,34.7,31.92,39.9,2024-10-03,31.5,stop -8%,35,-10.72,21.3
S A Tech Software India Ltd.,SME,SATECH,INE0BSN01013,2,early pivot reclaim,2024-08-14,2024-08-16,123.7,113.8,142.26,2024-09-18,160.6,trail (30% off peak after +15%),23,28.33,93.7
Cellecor Gadgets Ltd.,SME,CELLECOR,INE0OMO01025,1,early pivot reclaim,2024-08-19,2024-08-20,34.4,31.65,39.56,2025-02-17,52.3,trail (30% off peak after +15%),125,50.53,125.7
Aesthetik Engineers Ltd.,SME,AESTHETIK,INE0TSF01011,1,early pivot reclaim,2024-08-19,2024-08-20,127.5,117.3,146.62,2024-08-22,115.1,stop -8%,2,-11.23,0.0
Winny Immigration & Education Services Ltd.,SME,WINNY,INE0S9101013,2,early pivot reclaim,2024-08-20,2024-08-21,252.0,231.84,289.8,2024-11-14,230.0,stop -8%,40,-10.23,21.9
Sanstar Ltd.,Mainboard,SANSTAR,INE08NE01025,1,early pivot reclaim,2024-08-20,2024-08-21,134.4,123.65,154.56,2024-10-07,122.56,stop -8%,32,-9.81,13.0
Le Travenues Technology Ltd.,Mainboard,IXIGO,INE0HV901016,3,early pivot reclaim,2024-08-21,2024-08-22,167.3,153.92,192.4,2024-09-11,150.73,stop -8%,14,-10.9,1.2
Positron Energy Ltd.,SME,POSITRON,INE0S3H01017,1,early pivot reclaim,2024-08-21,2024-08-22,549.8,505.82,632.27,2024-09-12,497.25,stop -8%,15,-11.06,15.8
