setup,base,qib,tr_n,tr_mean,tr_median,tr_win,tr_pf,tr_p10,tr_p90,tr_hold,te_n,te_mean,te_median,te_win,te_pf,te_p10,te_p90,te_hold
B,-20.0,0,161,0.7,-9.4,41,1.1,-12.8,22.9,18.0,96,8.3,-0.4,49,2.75,-11.5,42.8,24.0
B,-20.0,15,109,-0.4,-9.5,41,0.94,-12.8,23.0,18.0,47,4.1,-9.0,38,1.68,-12.3,32.5,21.0
B,-20.0,50,83,-1.3,-9.6,39,0.8,-12.9,19.6,17.0,30,6.7,-6.6,40,2.15,-12.3,38.0,21.0
C,,0,347,-1.5,-9.8,30,0.8,-12.9,23.0,16.0,254,2.0,-9.4,36,1.31,-11.6,25.4,22.0
C,,15,239,-1.8,-9.7,29,0.76,-12.9,23.3,15.0,128,2.1,-9.5,38,1.33,-11.8,26.0,23.0
C,,50,190,-1.7,-9.7,30,0.77,-12.9,24.0,15.0,94,2.0,-9.6,36,1.29,-12.2,24.6,22.0
C,-10.0,0,124,0.7,-9.8,31,1.1,-13.2,32.3,17.0,97,2.8,-9.6,36,1.44,-11.5,34.4,22.0
C,-10.0,15,75,-1.7,-9.7,27,0.78,-13.1,25.5,17.0,39,1.3,-9.6,31,1.19,-11.3,22.1,22.0
C,-10.0,50,54,-1.5,-9.8,30,0.8,-12.9,30.3,18.0,26,1.8,-10.0,27,1.24,-11.3,19.0,21.0
C,-15.0,0,172,-1.1,-9.8,29,0.86,-13.0,23.2,17.0,134,4.5,-9.4,39,1.73,-11.4,34.6,23.0
C,-15.0,15,110,-2.9,-9.8,25,0.63,-13.0,21.9,16.0,61,6.2,-9.2,39,2.01,-11.3,32.4,26.0
C,-15.0,50,83,-3.1,-9.8,27,0.6,-13.0,21.1,16.0,40,6.7,-9.7,35,2.01,-11.3,26.7,23.0
C,-20.0,0,201,-0.1,-9.8,31,0.99,-13.0,29.7,16.0,163,4.3,-9.3,40,1.71,-11.6,33.7,23.0
C,-20.0,15,132,-1.4,-9.8,28,0.81,-13.0,26.8,15.0,76,4.9,-9.1,41,1.8,-11.6,30.8,25.0
C,-20.0,50,98,-1.6,-9.8,30,0.79,-12.9,27.6,16.0,51,5.6,-9.4,39,1.88,-11.3,24.8,23.0
