isin,day,fwd20,fwd60,vol_change_pct
INE00ER01015,12,-0.2544529262086481,48.091603053435115,-81.67938931297711
INE00ER01015,291,-25.882352941176467,-35.1336898395722,-51.19331742243437
INE00ER01015,316,-13.591945513769609,-4.116079360379032,195.65217391304347
INE00ER01015,332,17.128874388254477,0.032626427406201586,-89.22345483359746
INE00ER01015,357,-2.141582391433672,-0.35693039857227493,864.8648648648649
INE00ER01015,363,19.929245283018872,33.09748427672956,97.265625
INE00ER01015,375,7.354721549636811,-4.0556900726392175,-61.31687242798354
INE00ER01015,385,27.533265097236438,2.5588536335721557,97.23502304147465
INE00ER01015,396,-11.788399570354457,-27.49731471535982,-10.282258064516125
INE00ER01015,404,-5.25599128540305,-23.747276688453155,-76.4565992865636
INE00GK01023,55,10.943396226415093,121.82389937106919,21.90114068441065
INE00GK01023,57,12.339252908756881,97.88732394366195,14.306784660766958
INE00GK01023,59,25.629828686597243,136.81558616056435,29.579831932773114
INE00GK01023,78,12.299465240641716,216.49732620320856,-69.47162426614481
INE00GK01023,93,85.97838452787256,198.77701934015923,302.664298401421
INE00GK01023,100,54.45275322909586,135.73532744164964,686.3109048723898
INE00MT01022,89,-9.142496847414883,-13.93442622950819,-66.87898089171975
INE00MT01022,102,3.450807635829678,0.5873715124816492,-67.80575539568345
INE00MT01022,117,-2.289562289562297,-11.515151515151512,43.36734693877551
INE00MT01022,120,1.9830028328611915,-5.736543909348435,57.67195767195767
INE00MT01022,388,,,-65.54225607544433
INE01FR01028,444,3.384094754653133,,-1.798280079900516
INE01FR01028,475,,,778.9047199652335
INE01IH01015,391,-13.41991341991342,,16.03773584905661
INE01YQ01013,126,1.7452006980802848,4.712041884816753,-84.7328244274809
INE01YQ01013,134,7.0234113712374535,43.143812709030094,-68.62068965517241
INE01YQ01013,146,10.806174957118353,33.79073756432247,323.3333333333333
INE01YQ01013,155,-5.803571428571441,13.095238095238093,208.8888888888889
INE01YQ01013,289,-7.929515418502209,-1.7621145374449254,47.058823529411775
INE01YQ01013,328,1.5151515151515138,10.389610389610393,-77.77777777777779
INE01YQ01013,350,16.025641025641036,,26.530612244897966
INE01YQ01013,370,-6.261510128913439,,64.51612903225808
INE02IJ01035,114,-16.860934503986268,-20.405691795337567,-33.909036395626046
INE02S501018,78,33.033175355450226,51.65876777251184,91.30434782608697
INE02S501018,484,-1.6479894528675043,-1.4502307185233931,34.554973821989535
INE04VX01019,376,7.615062761506275,12.970711297071125,-32.295719844357976
INE05CZ01011,254,-8.161416926637822,-7.255710979168772,-62.87304130303929
INE05CZ01011,273,45.43168482816431,5.152277172394526,203.47551685008827
INE06IJ01010,69,13.583632145117065,-10.208816705336432,-57.59142255408769
INE06IJ01010,460,40.90909090909092,,-23.796719548265667
INE06IJ01010,472,17.79651229934174,,-48.062865497076025
INE06WU01026,224,19.7043034409927,,33.73273362372808
INE06XZ01023,147,6.8659658344284,23.57424441524312,-79.46169545206907
INE07K301024,332,-21.66252541224305,-28.13417664332506,106.03936611165335
INE07K301024,371,-6.702451762657757,21.151893225010898,-16.12595157997543
INE07K301024,376,-0.05883218120311673,23.621120753051915,-20.069088370224186
INE084K01015,206,-7.264063226406325,,-78.93489411741565
INE084K01015,217,,,-18.744806111617997
INE08NZ01012,97,-15.751920965971456,-14.654226125137203,-34.21985815602837
INE08NZ01012,448,2.1382488479262607,,-71.44622991347343
INE08NZ01012,457,-1.2519837771116205,,-45.90643274853801
INE08NZ01012,461,,,-33.183029309284684
INE08NZ01012,467,,,33.48205986242796
INE08U801020,525,-4.87778440192943,-7.620183187903096,-9.782673759467365
INE09XN01023,13,-4.185083645722598,-31.779779555754494,-88.70777339882397
INE09XN01023,73,-8.04559993438858,-14.147461658328552,3.558390291644886
INE0A6N01026,44,-0.9733389758781241,6.728734659331348,-42.206235011990415
INE0A6N01026,99,-3.634400863619991,-3.310543360921192,-7.301587301587298
INE0A6N01026,200,16.115146623621214,-2.1253699219800803,-5.226480836236935
INE0A6N01026,202,6.575963718820876,-5.165028974552788,11.570247933884303
INE0A6N01026,212,7.831677381648161,-11.192285213325547,269.3467336683417
INE0A6N01026,224,-0.6397637795275468,-13.38582677165354,156.69291338582676
INE0A6N01026,254,-14.394152375597413,8.096710711273559,248.34437086092714
INE0A6N01026,265,8.76432331991328,-5.357695881077717,283.4586466165414
INE0A6N01026,278,23.129251700680275,-9.727891156462597,-70.76612903225806
INE0A6N01026,297,-9.718039967150283,-36.709553791404325,456.79999999999995
INE0A6N01026,317,-22.528805336567615,-42.540933899332934,-73.99425287356323
INE0A6N01026,343,-14.749262536873154,-24.041297935103245,1048.936170212766
INE0A6N01026,363,-4.844290657439442,-21.885813148788923,-68.82716049382715
INE0A6N01026,379,2.1791767554479424,-20.581113801452787,-60.97852028639619
INE0A6N01026,501,11.399276236429422,,168.50393700787401
INE0A8401016,42,-7.837097878165633,-6.468172484599588,7.692307692307687
INE0A8401016,44,-0.8070175438596561,-8.877192982456139,10.280373831775691
INE0A8401016,58,3.539156626506035,1.6566265060240948,-71.14093959731544
INE0A8401016,87,0.45630045630047356,-5.2299052299052295,-28.000000000000004
INE0A8401016,108,-6.821963394342767,-7.287853577371051,-21.42857142857143
INE0A8401016,115,-2.169915410077239,-4.376609047443914,-36.36363636363637
INE0A8401016,120,7.407407407407418,-5.555555555555558,-16.36363636363637
INE0AE001013,674,-9.385113268608414,,135.63505840633314
INE0AE001013,688,-3.6144578313253017,,-80.7418174142717
INE0AE001013,707,,,650.571861206117
INE0AZY01017,114,4.894338118022312,-32.127192982456144,-60.38245686967366
INE0BHK01012,174,0.6482027106659016,40.60106069534473,-91.70068027210885
INE0BHK01012,183,12.147380541162933,33.563615428900405,-89.81900452488688
INE0BHK01012,216,-4.557179707652626,6.620808254514188,-47.22222222222222
INE0BHK01012,318,,,-48.372615039281705
INE0BHK01012,324,,,46.76616915422886
INE0BSN01013,21,-12.737489965212735,-27.374899652127382,-71.19919719016559
INE0BSN01013,34,-22.74011299435028,-22.598870056497177,-75.74242869744194
INE0BSN01013,74,-4.396371249127706,-50.76762037683182,-65.05319148936171
INE0BSN01013,124,-32.25108225108225,-27.705627705627712,25.029377203290238
INE0BSN01013,135,-32.66219239373602,-4.996271439224453,82.54649499284692
INE0BSN01013,148,-2.6079869600652006,0.24449877750611915,-15.261756876663712
INE0BSN01013,151,3.778801843317958,11.612903225806438,-39.653815892997635
INE0BSN01013,154,25.87117212249208,23.125659978880677,-58.54014598540146
INE0BSN01013,157,27.963525835866253,21.27659574468086,-70.0
INE0BSN01013,167,3.281378178835115,-7.301066447908122,-81.60569105691057
INE0BSN01013,198,-8.06577916992952,-13.703993735317155,0.0
INE0BSN01013,353,-9.610154125113324,-13.327289211242066,-70.88167053364269
INE0BSN01013,466,-9.362279511533256,,-61.62361623616236
INE0CTB01014,60,23.506743737957603,7.899807321772645,-32.86219081272085
INE0CTB01014,129,,,87.3873873873874
INE0D8001018,50,-12.765589911901888,33.01088270858526,-23.913043478260864
INE0D8001018,139,,,10.644257703081216
INE0DHF01018,94,-25.802469135802465,-30.12345679012346,3.322259136212624
INE0DHF01018,146,1.6314779270633517,10.172744721689053,-90.89645587213343
INE0DHF01018,153,6.756756756756754,1.3513513513513598,-84.26763110307414
INE0DHF01018,179,-15.912408759124085,-20.2919708029197,-24.034334763948493
